City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,Marquette,46.5333,-87.6335,5.77,75,100,2.55,US,2022-02-04 07:13:54
255,Cabinda,-5.55,12.2,78.67,74,99,3.49,AO,2022-02-04 07:13:54
256,Henties Bay,-22.116,14.2845,65.86,77,1,4.41,NA,2022-02-04 07:13:55
257,Oksfjord,70.2396,22.3479,21.38,93,100,20.13,NO,2022-02-04 07:13:55
258,Menongue,-14.6585,17.691,61.81,96,100,2.82,AO,2022-02-04 07:13:56
259,Bukama,-9.2,25.85,68.31,98,100,0.94,CD,2022-02-04 07:13:56
260,Atbasar,51.8,68.3333,15.26,80,90,6.33,KZ,2022-02-04 07:13:57
261,Comodoro Rivadavia,-45.8667,-67.5,57.06,94,75,19.57,AR,2022-02-04 07:13:57
262,Berlevag,70.8578,29.0864,15.75,73,0,16.11,NO,2022-02-04 07:13:58
263,Yining,29.0361,114.5636,48.11,59,94,2.39,CN,2022-02-04 07:13:58
264,Maceio,-9.6658,-35.7353,76.44,88,20,2.3,BR,2022-02-04 07:11:45
265,Bereda,43.2686,-7.5406,49.01,100,100,2.71,ES,2022-02-04 07:13:59
266,Rawson,-43.3002,-65.1023,72.05,49,100,14.29,AR,2022-02-04 07:10:50
267,Kita,13.0349,-9.4895,63.99,19,0,4.61,ML,2022-02-04 07:14:00
268,Provideniya,64.3833,-173.3,0.37,65,1,22.03,RU,2022-02-04 07:14:00
269,Tautira,-17.7333,-149.15,80.62,76,97,13.91,PF,2022-02-04 07:11:27
270,San Borja,-14.8167,-66.85,71.37,99,47,3.06,BO,2022-02-04 07:14:01
271,Gogrial,8.5332,28.1004,84.61,15,15,9.84,SS,2022-02-04 07:14:02
272,Erdenet,49.0333,104.0833,11.01,70,99,3.22,MN,2022-02-04 07:14:02
273,Kruisfontein,-34.0033,24.7314,67.89,63,93,8.9,ZA,2022-02-04 07:14:03
274,Newberry,34.2746,-81.6187,65.14,96,100,15.12,US,2022-02-04 07:14:03
275,Nikolskoye,59.7035,30.7861,3.09,100,100,3.58,RU,2022-02-04 07:14:04
276,Krasnyy Yar,46.5331,48.3456,31.93,88,100,3.76,RU,2022-02-04 07:14:04
277,Dehloran,32.6941,47.2679,66.29,28,2,19.57,IR,2022-02-04 07:14:05
278,Kodiak,57.79,-152.4072,36.91,87,100,8.05,US,2022-02-04 07:14:05
279,Pacific Grove,36.6177,-121.9166,51.31,87,0,1.99,US,2022-02-04 07:14:06
280,Xai-Xai,-25.0519,33.6442,87.15,56,5,5.53,MZ,2022-02-04 07:15:07
281,Murray Bridge,-35.1167,139.2667,81.7,50,26,19.42,AU,2022-02-04 07:15:07
282,Chara,56.9064,118.2631,-9.2,96,56,1.05,RU,2022-02-04 07:15:07
283,Panaba,21.2833,-88.2667,69.26,97,7,5.86,MX,2022-02-04 07:13:07
284,Khatanga,71.9667,102.5,-31.92,100,95,4.07,RU,2022-02-04 07:15:08
